"index","Ligand","Receptor","markers.x","Bretigea_1.x","Bretigea_2.x","CellMarker_1.x","CellMarker_2.x","PanglaoDB_1.x","PanglaoDB_2.x","HumanProteinAtlas_1.x","HumanProteinAtlas_2.x","cell_type_1.x","cell_type_2.x","Consensus.x","Score.x","markers.y","Bretigea_1.y","Bretigea_2.y","CellMarker_1.y","CellMarker_2.y","PanglaoDB_1.y","PanglaoDB_2.y","HumanProteinAtlas_1.y","HumanProteinAtlas_2.y","cell_type_1.y","cell_type_2.y","Consensus.y","Score.y","Combined","Interaction"
3036,"CALM1","CACNA1C","CALM1",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.36,"CACNA1C",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Astrocyte","Neuron","Neuron",0.35,"Neuron-Neuron","CALM1_CACNA1C"
3037,"CALM2","CACNA1C","CALM2",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.23,"CACNA1C",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Astrocyte","Neuron","Neuron",0.35,"Neuron-Neuron","CALM2_CACNA1C"
3038,"CALM3","CACNA1C","CALM3","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"CACNA1C",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Astrocyte","Neuron","Neuron",0.35,"Neuron-Neuron","CALM3_CACNA1C"
3039,"RIMS1","CACNA1C","RIMS1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.36,"CACNA1C",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Astrocyte","Neuron","Neuron",0.35,"Neuron-Neuron","RIMS1_CACNA1C"
3050,"EDIL3","ITGAV","EDIL3","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Oligodendrocyte",0.28,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Oligodendrocyte-Neuron","EDIL3_ITGAV"
3051,"PDGFB","ITGAV","PDGFB","Microglia",NA,NA,NA,"Endothelial",NA,NA,"Endothelial","Neuron","Neuron","Endothelial",0.9,"ITGAV",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Microglia","Neuron",0.28,"Endothelial-Neuron","PDGFB_ITGAV"
3071,"IL11RA","CD40","IL11RA",NA,NA,"Astrocyte",NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.51,"CD40",NA,NA,NA,"Microglia",NA,"Microglia",NA,"Neuron","Astrocyte","Neuron","Microglia",0.33,"Neuron-Microglia","IL11RA_CD40"
3084,"GAL","HLA-DPA1","GAL",NA,NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.52,"HLA-DPA1","Microglia",NA,NA,NA,NA,NA,"Neuron",NA,"Microglia","Neuron","Microglia",0.71,"Neuron-Microglia","GAL_HLA-DPA1"
3089,"BMP2","ACVR1","BMP2","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"OPC","Neuron","Endothelial",0.56,"ACVR1","Endothelial",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.57,"Endothelial-Neuron","BMP2_ACVR1"
3091,"FASLG","TNFRSF10B","FASLG",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.47,"TNFRSF10B",NA,NA,NA,NA,NA,NA,NA,"Neuron","Astrocyte","Neuron","Neuron",0.24,"Neuron-Neuron","FASLG_TNFRSF10B"
3096,"CALM1","GRM5","CALM1",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.36,"GRM5","Neuron",NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","OPC","Neuron",0.27,"Neuron-Neuron","CALM1_GRM5"
3097,"CALM2","GRM5","CALM2",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.23,"GRM5","Neuron",NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","OPC","Neuron",0.27,"Neuron-Neuron","CALM2_GRM5"
3098,"CALM3","GRM5","CALM3","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"GRM5","Neuron",NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","OPC","Neuron",0.27,"Neuron-Neuron","CALM3_GRM5"
3103,"B2M","CD247","B2M",NA,NA,"Microglia",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.43,"CD247",NA,NA,"T cell",NA,"NK cell","T cell",NA,NA,"Neuron","Neuron","T cell",0.24,"Neuron-T cell","B2M_CD247"
3105,"B2M","KLRC2","B2M",NA,NA,"Microglia",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.43,"KLRC2","Oligodendrocyte","OPC","NK cell","Oligodendrocyte","NK cell",NA,NA,NA,"OPC","Neuron","Oligodendrocyte",0.22,"Neuron-Oligodendrocyte","B2M_KLRC2"
3106,"B2M","HFE","B2M",NA,NA,"Microglia",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.43,"HFE",NA,NA,NA,NA,"Microglia",NA,NA,NA,"Oligodendrocyte","Microglia","Microglia",0.02,"Neuron-Microglia","B2M_HFE"
3107,"TF","HFE","TF","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Oligodendrocyte","Microglia","Oligodendrocyte",0.34,"HFE",NA,NA,NA,NA,"Microglia",NA,NA,NA,"Oligodendrocyte","Microglia","Microglia",0.02,"Oligodendrocyte-Microglia","TF_HFE"
3108,"RGMA","HFE","RGMA","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,"Neuron","Neuron","Microglia","Astrocyte",0.81,"HFE",NA,NA,NA,NA,"Microglia",NA,NA,NA,"Oligodendrocyte","Microglia","Microglia",0.02,"Astrocyte-Microglia","RGMA_HFE"
3113,"SEMA3E","NRP1","SEMA3E",NA,NA,NA,NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.3,"NRP1",NA,NA,"Microglia",NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.54,"Neuron-Neuron","SEMA3E_NRP1"
3115,"HGF","NRP1","HGF","Astrocyte",NA,"Neuron","Astrocyte",NA,NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.87,"NRP1",NA,NA,"Microglia",NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.54,"Astrocyte-Neuron","HGF_NRP1"
3116,"NRG1","HLA-DPB1","NRG1","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.37,"HLA-DPB1","Microglia",NA,NA,"B cell",NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.8,"Neuron-Neuron","NRG1_HLA-DPB1"
3118,"NRG1","LSR","NRG1","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.37,"LSR","Endothelial",NA,"Microglia",NA,NA,NA,"Neuron","Endothelial","Microglia","Neuron","Endothelial",0.69,"Neuron-Endothelial","NRG1_LSR"
3119,"APOE","LSR","APOE","Astrocyte",NA,"Microglia","Oligodendrocyte","Astrocyte",NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.85,"LSR","Endothelial",NA,"Microglia",NA,NA,NA,"Neuron","Endothelial","Microglia","Neuron","Endothelial",0.69,"Astrocyte-Endothelial","APOE_LSR"
3120,"NRG1","NETO2","NRG1","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.37,"NETO2","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.35,"Neuron-Neuron","NRG1_NETO2"
3121,"NRG1","MS4A4A","NRG1","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.37,"MS4A4A","Microglia",NA,NA,NA,NA,"Microglia",NA,"Endothelial","Microglia","Neuron","Microglia",0.71,"Neuron-Microglia","NRG1_MS4A4A"
3127,"PLAU","ITGA3","PLAU","Microglia",NA,NA,NA,NA,NA,NA,"Endothelial","Microglia","Neuron","Microglia",0.67,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Microglia-Neuron","PLAU_ITGA3"
3129,"LGALS8","ITGA3","LGALS8",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.36,"ITGA3",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia","Neuron","Neuron",0.4,"Neuron-Neuron","LGALS8_ITGA3"
3131,"SLIT2","PLXNA1","SLIT2","Neuron",NA,"Neuron",NA,NA,NA,NA,NA,"Neuron","Astrocyte","Neuron",0.29,"PLXNA1",NA,NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Neuron","Neuron",0.27,"Neuron-Neuron","SLIT2_PLXNA1"
3134,"SELPLG","ITGAM","SELPLG","Microglia",NA,NA,NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.58,"ITGAM","Microglia",NA,NA,"Microglia","NK cell",NA,NA,NA,"Microglia","OPC","Microglia",0.6,"Microglia-Microglia","SELPLG_ITGAM"
3139,"PLAU","ITGAM","PLAU","Microglia",NA,NA,NA,NA,NA,NA,"Endothelial","Microglia","Neuron","Microglia",0.67,"ITGAM","Microglia",NA,NA,"Microglia","NK cell",NA,NA,NA,"Microglia","OPC","Microglia",0.6,"Microglia-Microglia","PLAU_ITGAM"
3149,"FN1","CD79A","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"CD79A",NA,NA,"B cell",NA,NA,"B cell",NA,NA,"Neuron","Neuron","B cell",0.32,"Endothelial-B cell","FN1_CD79A"
3152,"SLITRK1","ENPEP","SLITRK1",NA,NA,"Neuron",NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.41,"ENPEP","Endothelial",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.57,"Neuron-Neuron","SLITRK1_ENPEP"
3153,"AGT","ENPEP","AGT","Astrocyte",NA,"Astrocyte","Astrocyte","Astrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Astrocyte",0.78,"ENPEP","Endothelial",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.57,"Astrocyte-Neuron","AGT_ENPEP"
3154,"FAM3C","PDCD1","FAM3C","Neuron",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.42,"PDCD1",NA,NA,"T cell","Microglia",NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.43,"Neuron-Neuron","FAM3C_PDCD1"
3155,"PDCD1LG2","PDCD2","PDCD1LG2",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.23,"PDCD2",NA,NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Neuron",0.45,"Neuron-Neuron","PDCD1LG2_PDCD2"
3174,"APOE","LRP4","APOE","Astrocyte",NA,"Microglia","Oligodendrocyte","Astrocyte",NA,"Neuron",NA,"Neuron","Microglia","Astrocyte",0.85,"LRP4","Astrocyte",NA,NA,NA,NA,NA,"Endothelial","Neuron","Oligodendrocyte","Neuron","Neuron",0.71,"Astrocyte-Neuron","APOE_LRP4"
3203,"COL4A4","CD93","COL4A4","OPC",NA,NA,NA,NA,NA,NA,NA,"Neuron","OPC","OPC",0.04,"CD93",NA,NA,"Microglia",NA,"Endothelial",NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.54,"OPC-Endothelial","COL4A4_CD93"
3207,"IGSF10","MAG","IGSF10","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Neuron","Microglia",0.7,"MAG","Oligodendrocyte",NA,"Oligodendrocyte","Oligodendrocyte","Oligodendrocyte",NA,NA,NA,"Neuron","Oligodendrocyte","Oligodendrocyte",0.36,"Microglia-Oligodendrocyte","IGSF10_MAG"
3231,"TNC","ITGA2","TNC","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","OPC","Astrocyte",0.7,"ITGA2","Oligodendrocyte",NA,NA,NA,"NK cell",NA,"Neuron",NA,"Astrocyte","Neuron","Neuron",0.49,"Astrocyte-Neuron","TNC_ITGA2"
3232,"FN1","C5AR1","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"C5AR1","Microglia",NA,NA,NA,"Microglia",NA,NA,NA,"Microglia","Neuron","Microglia",0.61,"Endothelial-Microglia","FN1_C5AR1"
3234,"BMP8B","PLAUR","BMP8B","OPC","Oligodendrocyte",NA,NA,NA,NA,NA,NA,"OPC","Oligodendrocyte","OPC",0.16,"PLAUR","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.67,"OPC-Microglia","BMP8B_PLAUR"
3237,"LRP1B","PLAUR","LRP1B",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.36,"PLAUR","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Neuron","Microglia","Microglia",0.67,"Neuron-Microglia","LRP1B_PLAUR"
3238,"FN1","IL17RC","FN1","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"IL17RC",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.46,"Endothelial-Neuron","FN1_IL17RC"
3269,"LAMB3","CD151","LAMB3","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"CD151","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Neuron","Neuron","Endothelial",0.55,"Neuron-Endothelial","LAMB3_CD151"
3281,"AVP","LDLR","AVP",NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.51,"LDLR","Endothelial",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.69,"Neuron-Neuron","AVP_LDLR"
3285,"TF","LDLR","TF","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Oligodendrocyte","Microglia","Oligodendrocyte",0.34,"LDLR","Endothelial",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.69,"Oligodendrocyte-Neuron","TF_LDLR"
3289,"ARPC5","LDLR","ARPC5",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.47,"LDLR","Endothelial",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.69,"Neuron-Neuron","ARPC5_LDLR"
3290,"ACTR2","LDLR","ACTR2","Microglia",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Microglia","Microglia",0.79,"LDLR","Endothelial",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.69,"Microglia-Neuron","ACTR2_LDLR"
3293,"S100A4","CCR5","S100A4",NA,NA,"Microglia",NA,"T cell",NA,NA,NA,"Microglia","Oligodendrocyte","Microglia",0.15,"CCR5","Microglia",NA,NA,NA,NA,"T cell",NA,NA,"Microglia","Neuron","Microglia",0.61,"Microglia-Microglia","S100A4_CCR5"
3297,"ANGPTL2","TIE1","ANGPTL2","Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,NA,NA,"Oligodendrocyte","Neuron","Oligodendrocyte",0.3,"TIE1","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Microglia","Neuron","Endothelial",0.58,"Oligodendrocyte-Endothelial","ANGPTL2_TIE1"
3299,"VGF","NTRK1","VGF",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Neuron","Neuron","Neuron",0.4,"NTRK1",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Microglia","Neuron","Neuron",0.32,"Neuron-Neuron","VGF_NTRK1"
3300,"GPI","NTRK1","GPI",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Astrocyte","Neuron",0.28,"NTRK1",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Microglia","Neuron","Neuron",0.32,"Neuron-Neuron","GPI_NTRK1"
3301,"GRN","NTRK1","GRN","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Oligodendrocyte","Neuron","Microglia",0.57,"NTRK1",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Microglia","Neuron","Neuron",0.32,"Microglia-Neuron","GRN_NTRK1"
3302,"COPA","NTRK1","COPA",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.47,"NTRK1",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Microglia","Neuron","Neuron",0.32,"Neuron-Neuron","COPA_NTRK1"
3303,"AIMP1","NTRK1","AIMP1",NA,NA,NA,NA,NA,NA,"Neuron",NA,"Oligodendrocyte","Neuron","Neuron",0.23,"NTRK1",NA,NA,NA,NA,"Neuron",NA,NA,"Neuron","Microglia","Neuron","Neuron",0.32,"Neuron-Neuron","AIMP1_NTRK1"
3306,"SPP1","CCR8","SPP1","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.65,"CCR8",NA,NA,"T cell",NA,"T cell",NA,NA,NA,"Neuron","Neuron","T cell",0.24,"Microglia-T cell","SPP1_CCR8"
3312,"FGF13","FGFR3","FGF13","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"FGFR3","Astrocyte",NA,"Astrocyte",NA,"Astrocyte",NA,NA,NA,"Neuron","Neuron","Astrocyte",0.81,"Neuron-Astrocyte","FGF13_FGFR3"
3318,"BMP3","BMPR1B","BMP3","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.32,"BMPR1B","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"OPC","Neuron","Astrocyte",0.74,"Neuron-Astrocyte","BMP3_BMPR1B"
3319,"BMP1","BMPR1B","BMP1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.23,"BMPR1B","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"OPC","Neuron","Astrocyte",0.74,"Neuron-Astrocyte","BMP1_BMPR1B"
3321,"RGMA","BMPR1B","RGMA","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,"Neuron","Neuron","Microglia","Astrocyte",0.81,"BMPR1B","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"OPC","Neuron","Astrocyte",0.74,"Astrocyte-Astrocyte","RGMA_BMPR1B"
3322,"RGMB","BMPR1B","RGMB","Neuron",NA,"Oligodendrocyte",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron",0.44,"BMPR1B","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"OPC","Neuron","Astrocyte",0.74,"Neuron-Astrocyte","RGMB_BMPR1B"
3348,"BMP2","ACTR2","BMP2","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"OPC","Neuron","Endothelial",0.56,"ACTR2","Microglia",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Microglia","Microglia",0.82,"Endothelial-Microglia","BMP2_ACTR2"
3349,"BMP7","ACTR2","BMP7","Astrocyte",NA,NA,NA,NA,NA,NA,NA,"Oligodendrocyte","Astrocyte","Astrocyte",0.4,"ACTR2","Microglia",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Microglia","Microglia",0.82,"Astrocyte-Microglia","BMP7_ACTR2"
3360,"LGALS3","MCAM","LGALS3",NA,NA,NA,NA,"Microglia",NA,"Neuron","Neuron","Astrocyte","Neuron","Neuron",0.39,"MCAM",NA,NA,NA,NA,"Endothelial",NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.39,"Neuron-Neuron","LGALS3_MCAM"
3362,"GNAI2","UNC5B","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"UNC5B",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Oligodendrocyte","Neuron",0.19,"Endothelial-Neuron","GNAI2_UNC5B"
3380,"TFPI","F3","TFPI","Endothelial",NA,NA,NA,NA,NA,"Endothelial",NA,"Microglia","Neuron","Endothelial",0.49,"F3","Astrocyte",NA,"Astrocyte",NA,NA,NA,NA,NA,"Neuron","Microglia","Astrocyte",0.74,"Endothelial-Astrocyte","TFPI_F3"
3382,"PDGFB","S1PR1","PDGFB","Microglia",NA,NA,NA,"Endothelial",NA,NA,"Endothelial","Neuron","Neuron","Endothelial",0.9,"S1PR1",NA,NA,"Microglia",NA,"NK cell","Astrocyte","Endothelial","Neuron","Astrocyte","Neuron","Astrocyte",0.43,"Endothelial-Astrocyte","PDGFB_S1PR1"
3383,"SPP1","S1PR1","SPP1","Microglia",NA,"Microglia",NA,NA,NA,NA,NA,"Microglia","Neuron","Microglia",0.65,"S1PR1",NA,NA,"Microglia",NA,"NK cell","Astrocyte","Endothelial","Neuron","Astrocyte","Neuron","Astrocyte",0.43,"Microglia-Astrocyte","SPP1_S1PR1"
3384,"GNAI2","S1PR1","GNAI2","Endothelial",NA,NA,NA,NA,NA,"Endothelial","Neuron","Neuron","Neuron","Endothelial",0.65,"S1PR1",NA,NA,"Microglia",NA,"NK cell","Astrocyte","Endothelial","Neuron","Astrocyte","Neuron","Astrocyte",0.43,"Endothelial-Astrocyte","GNAI2_S1PR1"
3386,"AVP","ADRB2","AVP",NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.51,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","AVP_ADRB2"
3387,"POMC","ADRB2","POMC",NA,NA,NA,NA,NA,"Neuron",NA,NA,"Microglia","Neuron","Neuron",0.24,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","POMC_ADRB2"
3395,"VIP","ADRB2","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","VIP_ADRB2"
3397,"NPY","ADRB2","NPY",NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Oligodendrocyte","Neuron",0.41,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","NPY_ADRB2"
3398,"IL1B","ADRB2","IL1B","Microglia",NA,NA,"Microglia","Microglia",NA,NA,NA,"Microglia","Neuron","Microglia",0.66,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Microglia-Microglia","IL1B_ADRB2"
3399,"TF","ADRB2","TF","Oligodendrocyte",NA,"Oligodendrocyte",NA,"Oligodendrocyte",NA,NA,NA,"Oligodendrocyte","Microglia","Oligodendrocyte",0.34,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Oligodendrocyte-Microglia","TF_ADRB2"
3402,"CRH","ADRB2","CRH","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.41,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","CRH_ADRB2"
3408,"PTHLH","ADRB2","PTHLH","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","PTHLH_ADRB2"
3409,"ADCYAP1","ADRB2","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","ADCYAP1_ADRB2"
3417,"ARPC5","ADRB2","ARPC5",NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.47,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Neuron-Microglia","ARPC5_ADRB2"
3418,"ACTR2","ADRB2","ACTR2","Microglia",NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Microglia","Microglia",0.79,"ADRB2",NA,NA,"Microglia",NA,"Neuron","Microglia",NA,NA,"Microglia","Astrocyte","Microglia",0.2,"Microglia-Microglia","ACTR2_ADRB2"
3431,"VIP","NPR3","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"NPR3","Neuron",NA,NA,NA,NA,NA,NA,NA,"Neuron","OPC","Neuron",0.22,"Neuron-Neuron","VIP_NPR3"
3455,"AVP","RAMP3","AVP",NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.51,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","AVP_RAMP3"
3456,"POMC","RAMP3","POMC",NA,NA,NA,NA,NA,"Neuron",NA,NA,"Microglia","Neuron","Neuron",0.24,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","POMC_RAMP3"
3463,"VIP","RAMP3","VIP","Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",NA,"Neuron","Microglia","Neuron",0.55,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","VIP_RAMP3"
3466,"CRH","RAMP3","CRH","Neuron",NA,"Neuron",NA,"Neuron",NA,NA,NA,"Neuron","Neuron","Neuron",0.41,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","CRH_RAMP3"
3472,"PTHLH","RAMP3","PTHLH","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","PTHLH_RAMP3"
3473,"ADCYAP1","RAMP3","ADCYAP1","Neuron",NA,NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron",0.42,"RAMP3","Endothelial",NA,NA,NA,"Endothelial",NA,NA,NA,"Neuron","Oligodendrocyte","Endothelial",0.49,"Neuron-Endothelial","ADCYAP1_RAMP3"
3503,"AVP","VIPR1","AVP",NA,NA,NA,NA,"Neuron",NA,"Neuron","Neuron","Neuron","Neuron","Neuron",0.51,"VIPR1",NA,NA,NA,NA,NA,NA,NA,"Neuron","Neuron","Neuron","Neuron",0.34,"Neuron-Neuron","AVP_VIPR1"
