species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	CXCR1	Myeloid-derived suppressor cells	CDw128a|CD181|CMKAR1|IL8RA	0	C-X-C motif chemokine receptor 1	protein-coding gene	NA	mesoderm	Immune system	0	0	0	0.000128329
Mm Hs	ADGRE1	Myeloid-derived suppressor cells	TM7LN3|EMR1	0.033	adhesion G protein-coupled receptor E1	protein-coding gene	NA	mesoderm	Immune system	0	0	0.000626566	0.0413218
None	GR1	Myeloid-derived suppressor cells	NA	0	NA	NA	NA	mesoderm	Immune system	NA	NA	NA	NA
Mm	LY6G	Myeloid-derived suppressor cells	NA	0.007	"lymphocyte antigen 6 complex, locus G"	protein coding gene	NA	mesoderm	Immune system	0	0	0	0.00904716
Mm Hs	S100A9	Myeloid-derived suppressor cells	MIF|NIF|LIAG|MRP14|MAC387|CGLB|CAGB	0.061	S100 calcium binding protein A9	protein-coding gene	1	mesoderm	Immune system	0	0	0.103383	0
Mm Hs	S100A4	Myeloid-derived suppressor cells	P9KA|18A2|PEL98|42A|CAPL	0.098	S100 calcium binding protein A4	protein-coding gene	1	mesoderm	Immune system	0	0	0.371241	0
Mm Hs	S100A8	Myeloid-derived suppressor cells	P8|CGLA|CAGA	0.064	S100 calcium binding protein A8	protein-coding gene	NA	mesoderm	Immune system	0	0	0.0798872	0
Mm Hs	IL12RB2	Natural killer T cells	NA	0	interleukin 12 receptor subunit beta 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0.000192493
Mm Hs	IL17RA	Natural killer T cells	hIL-17R|IL-17RA|CDw217|CD217|IL17R	0.014	interleukin 17 receptor A	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0056391	0.0164902
Mm Hs	IL12RB1	Natural killer T cells	CD212|IL12RB	0	interleukin 12 receptor subunit beta 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0	6.41643e-05
Mm Hs	KLRB1	Natural killer T cells	CD161|NKR-P1|NKR-P1A|hNKR-P1A|CLEC5B	0.008	killer cell lectin like receptor B1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.047619	0.000705807
Mm Hs	RORA	Natural killer T cells	RZRA|ROR1|ROR2|ROR3|NR1F1	0.045	RAR related orphan receptor A	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0140977	0
Mm Hs	ITGB2	Natural killer T cells	CD18|MFI7	0.07	integrin subunit beta 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0.111216	0.0605069
Mm Hs	EGR1	Natural killer T cells	TIS8|G0S30|NGFI-A|KROX-24|ZIF-268|AT225|ZNF225	0.202	early growth response 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.187657	0.20847
Mm Hs	MAP3K8	Natural killer T cells	Tpl-2|c-COT|MEKK8|ESTF	0.014	mitogen-activated protein kinase kinase kinase 8	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0473058	0.00763555
Mm Hs	NR4A1	Natural killer T cells	N10|NAK-1|NGFIB|NUR77|HMR|GFRP1	0.083	nuclear receptor subfamily 4 group A member 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00469925	0.101829
Mm Hs	GZMB	Natural killer T cells	CCPI|CGL-1|CSP-B|CGL1|CTSGL1|SECT|CSPB	0.017	granzyme B	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0604637	0.00834135
Mm Hs	TNFRSF8	Natural killer T cells	KI-1|CD30|D1S166E	0	TNF receptor superfamily member 8	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	PRF1	Natural killer T cells	PFP|HPLH2	0.009	perforin 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0307018	0.00474816
Mm Hs	IL2RB	Natural killer T cells	CD122|IL15RB	0.02	interleukin 2 receptor subunit beta	protein-coding gene	1	Mesoderm	Immune system	0	0	0.018797	0.0195059
Mm Hs	ZBTB16	Natural killer T cells	PLZF|ZNF145	0.007	zinc finger and BTB domain containing 16	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0119048	0
Mm Hs	TBX21	Natural killer T cells	TBLYM|T-bet	0	T-box 21	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	GATA3	Natural killer T cells	HDR	0.03	GATA binding protein 3	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0200501	0.0297722
Mm Hs	NCAM1	Natural killer T cells	NCAM|CD56	0.351	neural cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0297619	0.43112
Mm Hs	S1PR1	Natural killer T cells	edg-1|D1S3362|CD363	0.044	sphingosine-1-phosphate receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0112782	0
Mm Hs	STYK1	Natural killer T cells	SuRTK106|DKFZp761P1010|NOK	0.002	serine/threonine/tyrosine kinase 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	TCF7	Natural killer T cells	TCF-1	0.03	transcription factor 7	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0363409	0
Mm Hs	SLAMF7	Natural killer T cells	CRACC|19A|CS1|CD319	0.013	SLAM family member 7	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0075188	0
Mm	ZFP683	Natural killer T cells	NA	0	zinc finger protein 683	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	CXCR4	Natural killer T cells	LESTR|NPY3R|HM89|NPYY3R|D2S201E|fusin|HSY3RR|CD184	0.04	C-X-C motif chemokine receptor 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0.198308	0.0087905
Mm Hs	CD44	Natural killer T cells	IN|MC56|Pgp1|CD44R|HCELL|CSPG8|MIC4|MDU2|MDU3	0.127	CD44 molecule (Indian blood group)	protein-coding gene	1	Mesoderm	Immune system	0	0	0.300439	0.0877767
Mm Hs	MME	Neutrophils	CALLA|CD10	0.017	membrane metalloendopeptidase	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0270525	0.0153021
Mm Hs	ITGAM	Neutrophils	CD11b|CR3A|CD11B	0.025	integrin subunit alpha M	protein-coding gene	1	Mesoderm	Immune system	0	0.508532	0.00314564	0.0211222
Mm Hs	ITGAX	Neutrophils	CD11c|CD11C	0.007	integrin subunit alpha X	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0163573	0.00536228
Mm Hs	CD14	Neutrophils	NA	0.051	CD14 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.180887	0.026738	0.0530997
Mm Hs	FUT4	Neutrophils	FUC-TIV|CD15|ELFT	0.001	fucosyltransferase 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0.00071933
Hs	FCGR3A	Neutrophils	CD16a	0.006	Fc fragment of IgG receptor IIIa	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0355458	0
Mm Hs	PECAM1	Neutrophils	CD31	0.051	platelet and endothelial cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0443536	0.0545383
Mm Hs	CD33	Neutrophils	SIGLEC3|SIGLEC-3|FLJ00391	0.017	CD33 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.170648	0.0125826	0.0143212
Mm Hs	SELL	Neutrophils	LSEL|LAM1|LAM-1|hLHRc|Leu-8|Lyam-1|PLNHR|CD62L|LYAM1|LNHR	0.035	selectin L	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0603964	0
Hs	CEACAM8	Neutrophils	CD66b|CGM6	0	carcinoembryonic antigen related cell adhesion molecule 8	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	C5AR1	Neutrophils	C5A|C5AR|CD88|C5R1	0.027	complement C5a receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.31058	0.0141554	0.0248496
Mm Hs	CXCR1	Neutrophils	CDw128a|CD181|CMKAR1|IL8RA	0	C-X-C motif chemokine receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0.000130787
Mm Hs	CXCR2	Neutrophils	CMKAR2|CD182|IL8RB	0.003	C-X-C motif chemokine receptor 2	protein-coding gene	1	Mesoderm	Immune system	0	0.156997	0	0.000588543
Hs	JAML	Neutrophils	Gm638|AMICA|AMICA1	0.005	junction adhesion molecule like	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0292545	0
Mm Hs	TLR2	Neutrophils	TIL4|CD282	0.014	toll like receptor 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0.000943693	0
Mm Hs	MYLK	Neutrophils	smMLCK|MYLK1|MLCK1	0.047	myosin light chain kinase	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0556779	0.047672
Mm Hs	S100A9	Neutrophils	MIF|NIF|LIAG|MRP14|MAC387|CGLB|CAGB	0.061	S100 calcium binding protein A9	protein-coding gene	1	Mesoderm	Immune system	0.307692	0	0.102548	0
Mm Hs	MPO	Neutrophils	NA	0.023	myeloperoxidase	protein-coding gene	1	Mesoderm	Immune system	1	0.590444	0.0166719	0.0122286
Mm	CCL6	Neutrophils	NA	0.043	chemokine (C-C motif) ligand 6	protein coding gene	1	Mesoderm	Immune system	0	0.235495	0	0.0493068
Hs	CD24	Neutrophils	CD24A	0.039	CD24 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0	0.192828	0
Mm Hs	CEACAM1	Neutrophils	BGP1|CD66a|BGP	0.024	carcinoembryonic antigen related cell adhesion molecule 1	protein-coding gene	1	Mesoderm	Immune system	0	0.290102	0.0191884	0.0208606
Hs	FCGR1A	Neutrophils	CD64|CD64A	0.001	Fc fragment of IgG receptor Ia	protein-coding gene	NA	Mesoderm	Immune system	0	0	0.00377477	0
Mm Hs	CRP	Neutrophils	NA	0.002	C-reactive protein	protein-coding gene	NA	Mesoderm	Immune system	0	0	0.0044039	0.00163484
Mm Hs	LCN2	Neutrophils	NGAL|24p3	0.043	lipocalin 2	protein-coding gene	1	Mesoderm	Immune system	0	0.897611	0.0569361	0.0253727
Hs	DEFA1	Neutrophils	HNP-1|DEF1|DEFA2	0	defensin alpha 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm	DEFA2	Neutrophils	NA	0.003	"defensin, alpha, 2"	protein coding gene	1	Mesoderm	Immune system	0	0	0	0.0041852
Mm Hs	DEFA3	Neutrophils	HNP-3	0.002	defensin alpha 3	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0.00294272
Mm Hs	LTF	Neutrophils	HLF2	0.016	lactotransferrin	protein-coding gene	1	Mesoderm	Immune system	0	0.733788	0.00629129	0.00464295
Hs	LYZ	Neutrophils	NA	0.008	lysozyme	protein-coding gene	1	Mesoderm	Immune system	0.615385	0	0.0383768	0
Mm Hs	ELANE	Neutrophils	NE|HNE|HLE|ELA2	0.019	"elastase, neutrophil expressed"	protein-coding gene	1	Mesoderm	Immune system	1	0.631399	0.00629129	0.00732409
Mm Hs	S100A8	Neutrophils	P8|CGLA|CAGA	0.064	S100 calcium binding protein A8	protein-coding gene	1	Mesoderm	Immune system	0.538462	0	0.078012	0
Mm	RETNLG	Neutrophils	NA	0.014	resistin like gamma	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	IL1B	Neutrophils	IL1F2|IL-1B|IL1-BETA	0.027	interleukin 1 beta	protein-coding gene	1	Mesoderm	Immune system	0	0.150171	0.0254797	0.0253727
Mm	NGP	Neutrophils	NA	0.02	neutrophilic granule protein	protein coding gene	1	Mesoderm	Immune system	0	0.83959	0	0.00941669
Mm Hs	CXCL2	Neutrophils	SCYB2|GROb|MIP-2a|MGSA-b|CINC-2a|GRO2	0.041	C-X-C motif chemokine ligand 2	protein-coding gene	1	Mesoderm	Immune system	0	0.16041	0.0569361	0.0357703
Mm Hs	HP	Neutrophils	NA	0.044	haptoglobin	protein-coding gene	1	Mesoderm	Immune system	0	0.952218	0.0251651	0.0297541
Mm Hs	CCL3	Neutrophils	G0S19-1|LD78ALPHA|MIP-1-alpha|SCYA3	0.036	C-C motif chemokine ligand 3	protein-coding gene	1	Mesoderm	Immune system	0	0.0580205	0.00786411	0.0422443
Mm	CCL9	Neutrophils	NA	0.037	chemokine (C-C motif) ligand 9	protein coding gene	1	Mesoderm	Immune system	0	0.136519	0	0.0423751
Mm Hs	HDC	Neutrophils	NA	0.019	histidine decarboxylase	protein-coding gene	1	Mesoderm	Immune system	0	0.460751	0.00157282	0.014452
Mm Hs	MMP8	Neutrophils	CLG1	0.004	matrix metallopeptidase 8	protein-coding gene	1	Mesoderm	Immune system	0	0.211604	0	0.00124248
Mm	STFA2L1	Neutrophils	NA	0.001	stefin A2 like 1	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	LRG1	Neutrophils	LRG	0.026	leucine rich alpha-2-glycoprotein 1	protein-coding gene	1	Mesoderm	Immune system	0	0.692833	0.00346021	0.0188988
Mm Hs	OSM	Neutrophils	MGC20461	0.007	oncostatin M	protein-coding gene	1	Mesoderm	Immune system	0	0.146758	0	0.00575464
Mm Hs	MMP9	Neutrophils	CLG4B	0.015	matrix metallopeptidase 9	protein-coding gene	1	Mesoderm	Immune system	0	0.262799	0.00975149	0.012294
Mm Hs	PILRA	Neutrophils	FDF03	0.016	paired immunoglobin like type 2 receptor alpha	protein-coding gene	1	Mesoderm	Immune system	0	0.303754	0.01447	0.0117055
Mm Hs	CLEC4D	Neutrophils	Mpcl|CD368|MCL|Dectin-3|CLECSF8	0.007	C-type lectin domain family 4 member D	protein-coding gene	1	Mesoderm	Immune system	0	0.153584	0	0.00483913
Mm Hs	CLEC4E	Neutrophils	mincle|CLECSF9	0.006	C-type lectin domain family 4 member E	protein-coding gene	1	Mesoderm	Immune system	0	0.163823	0.00251651	0.0030735
Mm	TREM3	Neutrophils	NA	0.013	triggering receptor expressed on myeloid cells 3	protein coding gene	1	Mesoderm	Immune system	NA	NA	NA	NA
Mm Hs	ASPRV1	Neutrophils	Taps|SASPase|FLJ25084	0.001	aspartic peptidase retroviral like 1	protein-coding gene	1	Mesoderm	Immune system	0	0.0443686	0	0.00111169
Mm Hs	CCRL2	Neutrophils	CRAM-B|CKRX|CRAM-A|ACKR5	0.018	C-C motif chemokine receptor like 2	protein-coding gene	1	Mesoderm	Immune system	0	0.0614334	0.00157282	0.0212529
Mm Hs	CCR1	Neutrophils	MIP1aR|CD191|SCYAR1|CMKBR1	0.014	C-C motif chemokine receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.201365	0.00534759	0.010463
Mm Hs	NCF1	Neutrophils	p47phox|NOXO2|NCF1A|SH3PXD1A	0.038	neutrophil cytosolic factor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.744027	0	0.0321737
Mm	LY6G	Neutrophils	NA	0.007	"lymphocyte antigen 6 complex, locus G"	protein coding gene	1	Mesoderm	Immune system	0	0.477816	0	6.53937e-05
Mm Hs	TREM1	Neutrophils	TREM-1|CD354	0.003	triggering receptor expressed on myeloid cells 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00125826	0
Mm Hs	SORL1	Neutrophils	gp250|LR11|SorLA|SorLA-1|C11orf32	0.034	sortilin related receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.012268	0
Mm Hs	ARG2	Neutrophils	NA	0.001	arginase 2	protein-coding gene	1	Mesoderm	Immune system	0	0.0102389	0.000314564	0.00137327
Mm Hs	BST1	Neutrophils	CD157	0.008	bone marrow stromal cell antigen 1	protein-coding gene	1	Mesoderm	Immune system	0	0.0273038	0.00629129	0.008305
Mm	MRGPRA2B	Neutrophils	NA	0.003	"MAS-related GPR, member A2B"	protein coding gene	1	Mesoderm	Immune system	0	0.174061	0	0.000196181
Mm Hs	IL1R2	Neutrophils	CD121b|IL1RB	0.007	interleukin 1 receptor type 2	protein-coding gene	1	Mesoderm	Immune system	0	0.204778	0.00723498	0.00281193
Mm Hs	CFP	Neutrophils	PFC	0.035	complement factor properdin	protein-coding gene	NA	Mesoderm	Immune system	0	0.156997	0.0355458	0.0324353
Mm Hs	ADAM8	Neutrophils	CD156|MS2|CD156a	0.01	ADAM metallopeptidase domain 8	protein-coding gene	1	Mesoderm	Immune system	0	0.191126	0.00566216	0.0072587
Mm Hs	CD177	Neutrophils	PRV1|HNA2A|NB1	0.011	CD177 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.593857	0.00377477	0.00124248
Mm Hs	PTGS2	Neutrophils	NA	0.009	prostaglandin-endoperoxide synthase 2	protein-coding gene	1	Mesoderm	Immune system	0	0.0614334	0.0138408	0.00738948
Mm Hs	OAS3	Neutrophils	NA	0.003	2'-5'-oligoadenylate synthetase 3	protein-coding gene	NA	Mesoderm	Immune system	0	0.00341297	0.00817867	0.000588543
Mm Hs	PRTN3	Neutrophils	PR-3|ACPA|C-ANCA|AGP7|MBT|P29	0.026	proteinase 3	protein-coding gene	1	Mesoderm	Immune system	1	0.607509	0.00723498	0.0165446
Hs	AZU1	Neutrophils	AZU|CAP37|AZAMP|NAZC|HUMAZUR	0.002	azurocidin 1	protein-coding gene	NA	Mesoderm	Immune system	1	0	0.0088078	0
Mm Hs	CTSG	Neutrophils	CG	0.017	cathepsin G	protein-coding gene	1	Mesoderm	Immune system	1	0.532423	0.00912237	0.00699712
Hs	SERPINB1	Neutrophils	EI|PI2|anti-elastase|ELANH2	0.029	serpin family B member 1	protein-coding gene	1	Mesoderm	Immune system	1	0	0.155709	0
Mm Hs	CAMP	Neutrophils	CAP18|FALL39|FALL-39|LL37	0.022	cathelicidin antimicrobial peptide	protein-coding gene	NA	Mesoderm	Immune system	0	0.83959	0.000314564	0.0103976
Mm	CAR1	Neutrophils	NA	0.006	carbonic anhydrase 1	protein coding gene	1	Mesoderm	Immune system	0	0.00341297	0	0.00745488
Mm Hs	SLC1A5	Neutrophils	AAAT|ASCT2|RDRC|M7V1	0.038	solute carrier family 1 member 5	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0465555	0
Mm	CHIL3	Neutrophils	NA	0.022	chitinase-like 3	protein coding gene	1	Mesoderm	Immune system	0	0.767918	0	0.0119016
Mm Hs	SNX20	Neutrophils	SLIC-1|SLIC1	0.02	sorting nexin 20	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00125826	0
Mm Hs	ADPGK	Neutrophils	DKFZp434B195|ADP-GK	0.015	ADP dependent glucokinase	protein-coding gene	1	Mesoderm	Immune system	0	0.549488	0.0103806	0.00582004
Mm Hs	PSTPIP1	Neutrophils	PSTPIP|CD2BP1L|CD2BP1|CD2BP1S|H-PIP|PAPAS	0.014	proline-serine-threonine phosphatase interacting protein 1	protein-coding gene	1	Mesoderm	Immune system	0	0.372014	0.00251651	0.00889354
Mm Hs	LYST	Neutrophils	CHS	0.015	lysosomal trafficking regulator	protein-coding gene	1	Mesoderm	Immune system	0.0769231	0.327645	0.0320856	0.00536228
Mm Hs	DOCK8	Neutrophils	FLJ00026|FLJ00152|ZIR8|FLJ00346	0.015	dedicator of cytokinesis 8	protein-coding gene	NA	Mesoderm	Immune system	0	0.211604	0.0160428	0.0109207
Mm Hs	S100A4	Neutrophils	P9KA|18A2|PEL98|42A|CAPL	0.098	S100 calcium binding protein A4	protein-coding gene	1	Mesoderm	Immune system	0.692308	0	0.369928	0
Mm Hs	NLRP3	Neutrophils	AGTAVPRL|AII|AVP|FCAS|FCU|NALP3|PYPAF1|MWS|CLR1.1|C1orf7|CIAS1	0.004	NLR family pyrin domain containing 3	protein-coding gene	1	Mesoderm	Immune system	0	0.0375427	0.000943693	0.00457756
Mm Hs	CSF3R	Neutrophils	GCSFR|CD114	0.012	colony stimulating factor 3 receptor	protein-coding gene	1	Mesoderm	Immune system	0.230769	0.21843	0.0204467	0.00693173
Mm Hs	ITGAM	NK cells	CD11b|CR3A|CD11B	0.025	integrin subunit alpha M	protein-coding gene	1	Mesoderm	Immune system	0	0.0106383	0.00320718	0.0304048
Mm Hs	ITGAX	NK cells	CD11c|CD11C	0.007	integrin subunit alpha X	protein-coding gene	1	Mesoderm	Immune system	0.0945946	0.0212766	0.0144323	0.00516429
Hs	FCGR3A	NK cells	CD16a	0.006	Fc fragment of IgG receptor IIIa	protein-coding gene	1	Mesoderm	Immune system	0.0675676	0	0.0346376	0
Mm Hs	CD69	NK cells	CLEC2C	0.024	CD69 molecule	protein-coding gene	1	Mesoderm	Immune system	0.527027	0.0212766	0.101347	0.00729456
Mm Hs	KLRD1	NK cells	CD94	0.02	killer cell lectin like receptor D1	protein-coding gene	1	Mesoderm	Immune system	0.594595	0.914894	0.0256575	0.0111678
Mm Hs	IL2RB	NK cells	CD122|IL15RB	0.02	interleukin 2 receptor subunit beta	protein-coding gene	1	Mesoderm	Immune system	0.243243	0.904255	0.0134702	0.0141372
Mm Hs	KLRB1	NK cells	CD161|NKR-P1|NKR-P1A|hNKR-P1A|CLEC5B	0.008	killer cell lectin like receptor B1	protein-coding gene	1	Mesoderm	Immune system	0.418919	0	0.0388069	0.00071009
Mm Hs	CD244	NK cells	2B4|NAIL|NKR2B4|Nmrk|SLAMF4	0.002	CD244 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.138298	0	0.00167839
Mm Hs	KLRK1	NK cells	NKG2D|KLR|NKG2-D|CD314|D12S2489E	0.009	killer cell lectin like receptor K1	protein-coding gene	1	Mesoderm	Immune system	0	0.93617	0	0.00432509
Mm Hs	SLAMF7	NK cells	CRACC|19A|CS1|CD319	0.013	SLAM family member 7	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00769724	0
Hs	SIGLEC7	NK cells	SIGLEC-7|p75/AIRM1|QA79|CD328|SIGLEC19P|SIGLECP2	0	sialic acid binding Ig like lectin 7	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	NCR1	NK cells	NK-p46|NKP46|CD335|LY94	0.004	natural cytotoxicity triggering receptor 1	protein-coding gene	1	Mesoderm	Immune system	0	0.797872	0	0.000451875
Mm	KLRA1	NK cells	NA	0	"killer cell lectin-like receptor, subfamily A, member 1"	protein coding gene	1	Mesoderm	Immune system	0	0.0425532	0	6.45536e-05
Mm Hs	SLAMF6	NK cells	KALI|NTBA|KALIb|Ly108|SF2000|NTB-A|CD352	0.003	SLAM family member 6	protein-coding gene	1	Mesoderm	Immune system	0	0	0	0
Mm Hs	KIT	NK cells	CD117|SCFR|C-Kit|PBT	0.015	KIT proto-oncogene receptor tyrosine kinase	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00256575	0.018656
Mm Hs	CD27	NK cells	S152|Tp55|TNFRSF7	0.018	CD27 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0.0106383	0.0234124	0.0158156
Mm Hs	KLRC1	NK cells	NKG2-A|NKG2-B|CD159a|NKG2	0.004	killer cell lectin like receptor C1	protein-coding gene	1	Mesoderm	Immune system	0.216216	0.319149	0.00384862	0.000839197
Hs	KLRF1	NK cells	CLEC5C|NKp80	0.003	killer cell lectin like receptor F1	protein-coding gene	1	Mesoderm	Immune system	0.256757	0	0.0150738	0
Hs	GNLY	NK cells	NKG5|LAG-2|D2S69E|TLA519|LAG2	0.013	granulysin	protein-coding gene	1	Mesoderm	Immune system	0.851351	0	0.0635022	0
Mm Hs	NKG7	NK cells	GMP-17	0.056	natural killer cell granule protein 7	protein-coding gene	1	Mesoderm	Immune system	0.945946	1	0.0878768	0.0401523
Hs	IL32	NK cells	NK4|TAIF|TAIFb|TAIFd	0.036	interleukin 32	protein-coding gene	NA	Mesoderm	Immune system	0.824324	0	0.190186	0
Hs	GZMH	NK cells	CGL-2|CCP-X|CSP-C|CTSGL2	0.005	granzyme H	protein-coding gene	1	Mesoderm	Immune system	0.527027	0	0.0195638	0
Hs	FGFBP2	NK cells	NA	0.005	fibroblast growth factor binding protein 2	protein-coding gene	1	Mesoderm	Immune system	0.459459	0	0.0186017	0
Mm Hs	GZMM	NK cells	MET1|LMET1	0.007	granzyme M	protein-coding gene	1	Mesoderm	Immune system	0.486486	0	0.0343169	0.000258214
Mm Hs	CTSW	NK cells	NA	0.026	cathepsin W	protein-coding gene	1	Mesoderm	Immune system	0.702703	0.925532	0.0465042	0.0139436
Mm Hs	HMBOX1	NK cells	HNF1LA|PBHNF|FLJ21616|HOT1	0.008	homeobox containing 1	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0150738	0.00723
Mm	FASL	NK cells	NA	0.001	"Fas ligand (TNF superfamily, member 6)"	protein coding gene	1	Mesoderm	Immune system	0	0.159574	0	0.000580982
Mm Hs	AHR	NK cells	bHLHe76	0.007	aryl hydrocarbon receptor	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0115459	0.00697179
Mm Hs	PRF1	NK cells	PFP|HPLH2	0.009	perforin 1	protein-coding gene	1	Mesoderm	Immune system	0.310811	0.702128	0.0240539	0.000516429
Mm Hs	CCL4	NK cells	MIP-1-beta|Act-2|AT744.1|SCYA4	0.049	C-C motif chemokine ligand 4	protein-coding gene	1	Mesoderm	Immune system	0.581081	0.595745	0.043297	0.0456394
Mm Hs	SEMA6D	NK cells	KIAA1479|FLJ11598	0.026	semaphorin 6D	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00160359	0
Mm Hs	FHL2	NK cells	SLIM3|DRAL	0.043	four and a half LIM domains 2	protein-coding gene	1	Mesoderm	Immune system	0	0	0.106479	0.0287909
Mm Hs	CD2	NK cells	NA	0.04	CD2 molecule	protein-coding gene	1	Mesoderm	Immune system	0.513514	0.723404	0.0840282	0.0254341
Mm Hs	CD7	NK cells	LEU-9|TP41|Tp40	0.03	CD7 molecule	protein-coding gene	1	Mesoderm	Immune system	0.432432	0.62766	0.0958948	0.0123943
Mm Hs	CD3G	NK cells	NA	0.048	CD3g molecule	protein-coding gene	1	Mesoderm	Immune system	0.351351	0.0744681	0.0782553	0.0405397
Mm Hs	CD33	NK cells	SIGLEC3|SIGLEC-3|FLJ00391	0.017	CD33 molecule	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0128287	0.0173649
Mm Hs	DPP4	NK cells	CD26|ADCP2	0.02	dipeptidyl peptidase 4	protein-coding gene	1	Mesoderm	Immune system	0	0	0.0134702	0.0214318
Mm Hs	LAT	NK cells	NA	0.034	linker for activation of T cells	protein-coding gene	1	Mesoderm	Immune system	0.0135135	0.0212766	0.0141116	0.0376993
Mm Hs	PCDH15	NK cells	CDHR15|USH1F|DFNB23	0.006	protocadherin related 15	protein-coding gene	1	Mesoderm	Immune system	0	0	0.00192431	0.00671358
Mm Hs	CCL5	NK cells	RANTES|SISd|TCP228|MGC17164|D17S136E|SCYA5	0.042	C-C motif chemokine ligand 5	protein-coding gene	1	Mesoderm	Immune system	0.891892	0.968085	0.0667094	0.027048
Mm Hs	GZMA	NK cells	HFSP|CTLA3	0.026	granzyme A	protein-coding gene	1	Mesoderm	Immune system	0.905405	0.787234	0.0458627	0.0136854
Mm Hs	GZMB	NK cells	CCPI|CGL-1|CSP-B|CGL1|CTSGL1|SECT|CSPB	0.017	granzyme B	protein-coding gene	1	Mesoderm	Immune system	0.513514	0.670213	0.0497114	0.00432509
Mm	KLRE1	NK cells	NA	0.005	killer cell lectin-like receptor family E member 1	protein coding gene	1	Mesoderm	Immune system	0	0.861702	0	0.00071009
Mm	KLRA4	NK cells	NA	0.002	"killer cell lectin-like receptor, subfamily A, member 4"	protein coding gene	NA	Mesoderm	Immune system	0	0.404255	0	6.45536e-05
Mm Hs	CMA1	NK cells	NA	0.007	chymase 1	protein-coding gene	1	Mesoderm	Immune system	0	0.234043	0	0.0071009
Mm	KLRB1C	NK cells	NA	0.005	killer cell lectin-like receptor subfamily B member 1C	protein coding gene	1	Mesoderm	Immune system	0	0.829787	0	0.00071009
